#,title,videoUrl,videoId,publishedAt,position
1,2010 WORLD CUP FINAL: Netherlands 0-1 Spain (AET),https://www.youtube.com/watch?v=aKSHgMqCwbQ&list=PLA50BEC09C3927E83&index=1,aKSHgMqCwbQ,2012-07-11T12:16:44Z,0
54,Italy v Paraguay | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=a0RGWDIHFhs&list=PLA50BEC09C3927E83&index=54,a0RGWDIHFhs,2012-03-25T20:48:28Z,53
55,Japan v Cameroon | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=rsmrur2LTbY&list=PLA50BEC09C3927E83&index=55,rsmrur2LTbY,2012-03-21T07:54:00Z,54
56,Netherlands v Denmark | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=jfqqE23wvAA&list=PLA50BEC09C3927E83&index=56,jfqqE23wvAA,2012-04-09T01:46:50Z,55
57,Germany v Australia | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=dSgBX6vkBlE&list=PLA50BEC09C3927E83&index=57,dSgBX6vkBlE,2012-04-22T22:36:41Z,56
58,Serbia v Ghana | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=cyTVlnIPIvc&list=PLA50BEC09C3927E83&index=58,cyTVlnIPIvc,2012-12-07T02:58:48Z,57
59,Algeria v Slovenia | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=-DylTdocfWU&list=PLA50BEC09C3927E83&index=59,-DylTdocfWU,2012-07-23T04:09:23Z,58
60,England v USA | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=8ahf8b7ex8U&list=PLA50BEC09C3927E83&index=60,8ahf8b7ex8U,2012-10-26T14:00:03Z,59
61,Argentina v Nigeria | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=zf-7EOg0MSo&list=PLA50BEC09C3927E83&index=61,zf-7EOg0MSo,2012-09-13T19:37:27Z,60
62,Korea Republic v Greece | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=tuKHH31GiP4&list=PLA50BEC09C3927E83&index=62,tuKHH31GiP4,2012-03-21T07:54:01Z,61
63,Uruguay v France | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=thaEgO-V930&list=PLA50BEC09C3927E83&index=63,thaEgO-V930,2012-11-22T11:22:31Z,62
64,South Africa v Mexico | 2010 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=8K-mI94l7bY&list=PLA50BEC09C3927E83&index=64,8K-mI94l7bY,2012-06-10T22:15:26Z,63
