#,title,videoUrl,videoId,publishedAt,position
1,2014 WORLD CUP FINAL: Germany 1-0 Argentina (AET),https://www.youtube.com/watch?v=ffAYByv2pLc&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=1,ffAYByv2pLc,2018-04-28T10:00:12Z,0
55,Costa Rica v England | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=aErmgrbd6lw&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=55,aErmgrbd6lw,2018-04-19T13:32:25Z,54
56,Greece v Côte d'Ivoire | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=zb0BSoJfFSg&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=56,zb0BSoJfFSg,2018-04-19T13:39:04Z,55
57,Nigeria v Bosnia & Herzegovina | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=fm-HTAqjqLM&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=57,fm-HTAqjqLM,2018-04-19T13:30:05Z,56
58,Belgium v Russia | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=kEAh8VnPfOo&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=58,kEAh8VnPfOo,2018-04-19T14:10:58Z,57
59,Bosnia & Herzegovina v Iran | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=YbfHVsuKTYo&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=59,YbfHVsuKTYo,2018-04-19T13:24:53Z,58
60,Algeria v Russia | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=0pGXnWZ9YTc&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=60,0pGXnWZ9YTc,2018-04-19T14:39:39Z,59
61,Honduras v Switzerland | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=UZGl-MjJ5EA&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=61,UZGl-MjJ5EA,2018-04-19T13:23:29Z,60
62,Russia v Korea Republic | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=UlocGkOgp0s&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=62,UlocGkOgp0s,2018-04-18T16:04:27Z,61
63,Iran v Nigeria | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=0MY9KZ8YFqU&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=63,0MY9KZ8YFqU,2018-04-18T15:55:34Z,62
64,Japan v Greece | 2014 FIFA World Cup | Match Highlights,https://www.youtube.com/watch?v=6esK5s-nq5A&list=PLCGIzmTE4d0i4BvAgy-hShwPB3R6az-wL&index=64,6esK5s-nq5A,2018-04-19T13:15:29Z,63
